birthdate,isBlock,injuredDays,up15,photo2,isActive,idTeam,nick,number,insertDatetime,price,height,isNational,isExitLeague,initialPrice,fullName,photo,url,fisicStatus,imageTeam,license,idPlayer,birthplace,nationality,competitionAverage,pointsJourney,numberJourney,keep,imageTeamNegative,position,isExtraCommunity,shortName,nameTeam,age,down15
08/04/1997,TRUE,0,54.9,0000783364_5-6_03.jpg,TRUE,18,Batemon,1,20250227T171936+0000,886154,185,FALSE,FALSE,490000,James Batemon,0000783359_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003914,fit,2425HioposLleida_positivo.png,EXT,293,Wisconsin,EE.UU.,17.7,<dbl>,<int>,17.7,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,TRUE,J. Batemon,Hiopos Lleida,28,-19.5
29/04/1996,TRUE,0,84.9,0000570204_5-6_03.jpg,TRUE,18,Bozic,8,20240909T093415+0000,732258,200,FALSE,FALSE,580000,Luka Bozic,0000570188_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003420,fit,2425HioposLleida_positivo.png,EUR,151,Bjelovar,Croacia,14.6,<dbl>,<int>,14.6,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,L. Bozic,Hiopos Lleida,29,-55.7
20/10/1994,TRUE,0,55.1,0000770893_5-6_03.jpg,TRUE,16,Geben,12,20250102T183911+0000,664000,208,FALSE,FALSE,400000,Martinas Geben,0000770885_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30002443,fit,BASQUET-GIRONA-Logonegativo2223.png,EUR,274,Vilnus,Lituania,13.3,<dbl>,<int>,13.3,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,5,FALSE,M. Geben,Bàsquet Girona,30,-28.6
20/05/1994,TRUE,0,74.4,0000570251_5-6_03.jpg,TRUE,18,Paulí,5,20240909T093415+0000,625000,201,TRUE,FALSE,390000,Oriol Paulí,0000570243_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20209098,fit,2425HioposLleida_positivo.png,JFL,154,Girona,España,12.5,<dbl>,<int>,12.5,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,O. Paulí,Hiopos Lleida,31,-49.4
21/11/2002,TRUE,0,60.3,0000568285_5-6_03.jpg,TRUE,16,Fernández,21,20240909T093414+0000,579630,210,TRUE,FALSE,375000,Juan Fernández,0000568273_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30000138,doubtful,BASQUET-GIRONA-Logonegativo2223.png,JFL,134,Santa Fe,España,11.6,<dbl>,<int>,11.6,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,5,FALSE,J. Fernández,Bàsquet Girona,22,-37.1
25/11/1997,TRUE,0,61.1,0000568317_5-6_03.jpg,TRUE,16,Fjellerup,2,20240909T093414+0000,541000,198,FALSE,FALSE,140000,Maxi Fjellerup,0000568312_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001997,injured,BASQUET-GIRONA-Logonegativo2223.png,EUR,130,Tres Arroyos,Argentina,10.8,<dbl>,<int>,10.8,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,3,FALSE,M. Fjellerup,Bàsquet Girona,27,-39.5
14/03/1995,TRUE,0,62.7,0000568229_5-6_03.jpg,TRUE,16,Iroegbu,0,20240909T093414+0000,526875,188,FALSE,FALSE,575000,Ike Iroegbu,0000568215_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30002683,fit,BASQUET-GIRONA-Logonegativo2223.png,COT,127,Sacramento (California),Nigeria,10.5,<dbl>,<int>,10.5,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,1,FALSE,I. Iroegbu,Bàsquet Girona,30,-41.6
30/09/1998,TRUE,0,59.8,0000568153_5-6_03.jpg,TRUE,16,Durham,42,20240911T150142+0000,490000,193,FALSE,FALSE,550000,Aljami Durham,0000568142_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30003360,fit,BASQUET-GIRONA-Logonegativo2223.png,EXT,227,Nueva York,EE.UU.,9.8,<dbl>,<int>,9.8,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,1,TRUE,A. Durham,Bàsquet Girona,26,-40.2
09/08/2004,TRUE,0,59.2,0000570305_5-6_03.jpg,TRUE,18,Villar,4,20240909T093415+0000,485455,191,TRUE,FALSE,220000,Rafael Villar,0000570293_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001243,fit,2425HioposLleida_positivo.png,JFL,152,Barcelona,España,9.7,<dbl>,<int>,9.7,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,1,FALSE,R. Villar,Hiopos Lleida,20,-39.8
06/07/2000,TRUE,0,45.4,0000568301_5-6_03.jpg,TRUE,16,Marcos,6,20240909T093414+0000,436667,190,FALSE,FALSE,400000,Juani Marcos,0000568291_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30000108,fit,BASQUET-GIRONA-Logonegativo2223.png,EUR,131,Rosario,Italia,8.7,<dbl>,<int>,8.7,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,1,FALSE,J. Marcos,Bàsquet Girona,24,-27.9
25/09/1992,TRUE,0,52.6,0000570276_5-6_03.jpg,TRUE,18,Oriola,29,20240909T093415+0000,431212,208,TRUE,FALSE,280000,Pierre Oriola,0000570267_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20202164,fit,2425HioposLleida_positivo.png,JFL,153,Tárrega,España,8.6,<dbl>,<int>,8.6,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,5,FALSE,P. Oriola,Hiopos Lleida,32,-35.4
17/08/1991,TRUE,0,44.1,0000570335_5-6_03.jpg,TRUE,18,Bropleh,3,20240909T093415+0000,370312,196,FALSE,FALSE,380000,Thomas Bropleh,0000570319_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/30001994,fit,2425HioposLleida_positivo.png,COT,149,New York,Liberia,7.4,<dbl>,<int>,7.4,https://supermanager.acb.com/files/logo/2425HioposLleida_positivo.png,3,FALSE,T. Bropleh,Hiopos Lleida,33,-29.3
02/03/1999,TRUE,0,40.9,0000770903_5-6_03.jpg,TRUE,16,Busquets,4,20240909T093413+0000,362333,201,TRUE,FALSE,180000,Pep Busquets,0000770897_5-6_03.jpg,https://www.acb.com/jugador/todos-sus-partidos/id/20211754,fit,BASQUET-GIRONA-Logonegativo2223.png,JFL,125,Granollers,España,7.2,<dbl>,<int>,7.2,https://supermanager.acb.com/files/logo/BASQUET-GIRONA-Logonegativo2223.png,3,FALSE,P. Busquets,Bàsquet Girona,26,-26.5
